matchId,match,currentStatus,currentScore,homeAliasesFound,awayAliasesFound,candidateScore,candidateStatus,evidence
35,טוניסיה - הולנד,pending,None-None,Tunisia | TUN,Netherlands | NED,3-2,verified,Live(3) CHANGE DAY SORT FILTER FIFA World Cup™ FIFA World Cup 2026™ Group E LIVE 66' Germany 4 - 1 Curaçao Côte d'Ivoire 07:00 Ecuador Group F Netherlands 04:00 Japan Sweden 10:00 Tunisia Group E Show table Pos Team P W Pts 1 Germany 1 1 3 2 Ecuador 0 0 0 Group F Show table Pos Team P W Pts 1 Netherlands 0 0 0 1 Japan 0 0 0 Primera División Match Day 15 FT Deportes Concepción 3 - 2 Deportes Limache Unión La Calera 03:00 Universidad de Chile Universidad Católica 05:30 Universidad de Concepción Sh
36,יפן - שבדיה,pending,None-None,Japan | JPN,Sweden | SWE,4-1,live,ED 01 Jul THU 02 Jul FRI 03 Jul SAT 04 Jul SUN 05 Jul MON 06 Jul TUE 07 Jul WED 08 Jul Live(3) CHANGE DAY SORT FILTER FIFA World Cup™ FIFA World Cup 2026™ Group E LIVE 66' Germany 4 - 1 Curaçao Côte d'Ivoire 07:00 Ecuador Group F Netherlands 04:00 Japan Sweden 10:00 Tunisia Group E Show table Pos Team P W Pts 1 Germany 1 1 3 2 Ecuador 0 0 0 Group F Show table Pos Team P W Pts 1 Netherlands 0 0 0 1 Japan 0 0 0 Primera División Match Day
37,בלגיה - מצרים,pending,None-None,Belgium | BEL,Egypt | EGY,,not_found,
38,איראן - ניו זילנד,pending,None-None,IR Iran | Iran | IRN,New Zealand | NZL,,not_found,
39,בלגיה - איראן,pending,None-None,Belgium | BEL,IR Iran | Iran | IRN,,not_found,
40,ניו זילנד - מצרים,pending,None-None,New Zealand | NZL,Egypt | EGY,,not_found,
41,מצרים - איראן,pending,None-None,Egypt | EGY,IR Iran | Iran | IRN,,not_found,
42,ניו זילנד - בלגיה,pending,None-None,New Zealand | NZL,Belgium | BEL,,not_found,
43,ספרד - קייפ ורדה,pending,None-None,Spain | ESP,Cabo Verde | CPV,,not_found,
44,ערב הסעודית - אורוגוואי,pending,None-None,Saudi Arabia | Saudi | KSA,Uruguay | URU,,not_found,
45,ספרד - ערב הסעודית,pending,None-None,Spain | ESP,Saudi Arabia | Saudi | KSA,,not_found,
46,אורוגוואי - קייפ ורדה,pending,None-None,Uruguay | URU,Cabo Verde | CPV,,not_found,
47,אורוגוואי - ספרד,pending,None-None,Uruguay | URU,Spain | ESP,,not_found,
48,קייפ ורדה - ערב הסעודית,pending,None-None,Cabo Verde | CPV,Saudi Arabia | Saudi | KSA,,not_found,
49,צרפת - סנגל,pending,None-None,France | FRA,Senegal | SEN,,not_found,
50,עירק - נורווגיה,pending,None-None,Iraq | IRQ,Norway | NOR,,not_found,
51,צרפת - עירק,pending,None-None,France | FRA,Iraq | IRQ,,not_found,
52,נורווגיה - סנגל,pending,None-None,Norway | NOR,Senegal | SEN,,not_found,
53,נורווגיה - צרפת,pending,None-None,Norway | NOR,France | FRA,,not_found,
54,סנגל - עירק,pending,None-None,Senegal | SEN,Iraq | IRQ,,not_found,
55,ארגנטינה - אלג'יריה,pending,None-None,Argentina | ARG,Algeria | ALG,,not_found,
56,אוסטריה - ירדן,pending,None-None,Austria | AUT,Jordan | JOR,,not_found,
57,ארגנטינה - אוסטריה,pending,None-None,Argentina | ARG,Austria | AUT,,not_found,
58,ירדן - אלג'יריה,pending,None-None,Jordan | JOR,Algeria | ALG,,not_found,
59,אלג'יריה - אוסטריה,pending,None-None,Algeria | ALG,Austria | AUT,,not_found,
60,ירדן - ארגנטינה,pending,None-None,Jordan | JOR,Argentina | ARG,,not_found,
61,פורטוגל - קונגו,pending,None-None,Portugal | POR,Congo DR | Congo | COD,,not_found,
62,אוזבקיסטן - קולומביה,pending,None-None,Uzbekistan | UZB,Colombia | COL,,not_found,
63,פורטוגל - אוזבקיסטן,pending,None-None,Portugal | POR,Uzbekistan | UZB,,not_found,
64,קולומביה - קונגו,pending,None-None,Colombia | COL,Congo DR | Congo | COD,,not_found,
65,קולומביה - פורטוגל,pending,None-None,Colombia | COL,Portugal | POR,,not_found,
66,קונגו - אוזבקיסטן,pending,None-None,Congo DR | Congo | COD,Uzbekistan | UZB,,not_found,
67,אנגליה - קרואטיה,pending,None-None,England | ENG,Croatia | CRO,,not_found,
68,גאנה - פנמה,pending,None-None,Ghana | GHA,Panama | PAN,,not_found,
69,אנגליה - גאנה,pending,None-None,England | ENG,Ghana | GHA,,not_found,
70,פנמה - קרואטיה,pending,None-None,Panama | PAN,Croatia | CRO,,not_found,
71,קרואטיה - גאנה,pending,None-None,Croatia | CRO,Ghana | GHA,,not_found,
72,פנמה - אנגליה,pending,None-None,Panama | PAN,England | ENG,,not_found,
